Flights{flight_id='01GWK9T13S525YERY70EKXKFNW', curr_altitude_fit='10', destination_airpot_code='10', dept_time='TAC', curr_location='12:03 AM'}
Flights{flight_id='01GWK9T15VG4KA59R2NQTH1RPY', curr_altitude_fit='10', destination_airpot_code='10', dept_time='BNF', curr_location='N/A'}
Flights{flight_id='01GWK9T1EGTTX1P8KQZY0Y4P9D', curr_altitude_fit='10', destination_airpot_code='10', dept_time='TMC', curr_location='N/A'}
Flights{flight_id='01GWK9T1GGTCTWRNR6NGRMKYC9', curr_altitude_fit='10', destination_airpot_code='10', dept_time='RGI', curr_location='12:00 AM'}
Flights{flight_id='01GWK9T1J7Z81KRFV0FVB6PWXX', curr_altitude_fit='10', destination_airpot_code='10', dept_time='SSW', curr_location='12:00 AM'}
Flights{flight_id='01GWK9T1NBR388J8MNWXN0DPS3', curr_altitude_fit='10', destination_airpot_code='10', dept_time='BMQ', curr_location='12:00 AM'}
Flights{flight_id='01GWK9T1NDDHWJMYVQDKM2E3XK', curr_altitude_fit='10', destination_airpot_code='10', dept_time='ORW', curr_location='12:04 AM'}
Flights{flight_id='01GWK9T1TVZ7DNFHN3SFRP9609', curr_altitude_fit='10', destination_airpot_code='10', dept_time='SIJ', curr_location='N/A'}
Flights{flight_id='01GWK9T21VJY9BNEXVYG4D1DKV', curr_altitude_fit='10', destination_airpot_code='10', dept_time='SNZ', curr_location='N/A'}
Flights{flight_id='01GWK9T2NMHGKR8PT83YTTPKDR', curr_altitude_fit='10', destination_airpot_code='10', dept_time='JEJ', curr_location='N/A'}
Flights{flight_id='01GWK9T2PXPY4EKVCZMSD6B9C2', curr_altitude_fit='10', destination_airpot_code='10', dept_time='SNI', curr_location='N/A'}
Flights{flight_id='01GWK9T2S3C85609ZBPJ0BG4DB', curr_altitude_fit='10', destination_airpot_code='10', dept_time='OGL', curr_location='N/A'}
